LocationID,trip_count,total_fare,avg_fare,avg_distance,avg_tip,Zone,Borough,latitude,longitude,intensity
114,9610,167396.77,17.41901873048907,1.9007523413111342,2.2609032258064516,Greenwich Village South,Manhattan,40.7128,-74.006,0.1723797736282265
144,9276,188701.86,20.34302069857697,2.111445666235446,2.01776412246658,Little Italy/NoLiTa,Manhattan,40.7128,-74.006,0.1663886347737179
13,8897,224499.66,25.233186467348546,3.4566112172642467,2.8156569630212434,Battery Park City,Manhattan,40.7128,-74.006,0.1595903065525839
50,8791,174897.14,19.89502218177682,2.366787623706063,1.4027073142987148,Clinton West,Manhattan,40.7128,-74.006,0.15768892715564406
158,8594,174571.3,20.313160344426343,2.1598196416104263,2.1966418431463812,Meatpacking/West Village West,Manhattan,40.7128,-74.006,0.1541552314839728
211,8106,163751.78,20.201305206020233,14.192415494695288,2.1505761164569455,SoHo,Manhattan,40.7128,-74.006,0.14540171124145723
148,8057,172144.75,21.3658619833685,2.4633722229117536,1.7484125605063918,Lower East Side,Manhattan,40.7128,-74.006,0.14452277170890956
87,7596,200021.78,26.33251448130595,3.51471037388099,1.9442351237493418,Financial District North,Manhattan,40.7128,-74.006,0.13625356508636927
166,7494,165002.62,22.01796370429677,2.795892714171337,1.6482492660795303,Morningside Heights,Manhattan,40.7128,-74.006,0.13442393585535167
41,6860,160149.12,23.345352769679298,27.256125364431487,0.8265903790087463,Central Harlem,Manhattan,40.7128,-74.006,0.12305153455667366
74,6048,144683.62,23.922556216931216,3.7241352513227515,0.7265724206349207,East Harlem North,Manhattan,40.7128,-74.006,0.10848625087445515
125,5533,113318.6,20.480498825230438,32.480755467196815,2.190780769925899,Hudson Sq,Manhattan,40.7128,-74.006,0.09924841701196434
42,5267,142316.31,27.02037402696032,26.800516423011203,0.3163888361496108,Central Harlem North,Manhattan,40.7128,-74.006,0.09447703097813413
261,5091,130045.76,25.54424670988018,38.53221174621881,2.57218424670988,World Trade Center,Manhattan,40.7128,-74.006,0.09132002367755475
4,4069,90921.73,22.344981567952814,2.6117694765298602,0.5640747112312607,Alphabet City,Manhattan,40.7128,-74.006,0.07298785628441766
24,4005,79369.54,19.817612983770285,34.43219725343321,1.8961373283395755,Bloomingdale,Manhattan,40.7128,-74.006,0.07183985362966151
232,3822,95140.61,24.89288592360021,3.2129801151229724,0.6673835688121402,Two Bridges/Seward Park,Manhattan,40.7128,-74.006,0.06855728353871818
88,3746,106161.42,28.339941270688733,3.6519594233849437,2.2733715963694605,Financial District South,Manhattan,40.7128,-74.006,0.06719403038619527
244,3634,111062.51,30.562055586130985,49.6226802421574,0.5329334067143644,Washington Heights South,Manhattan,40.7128,-74.006,0.06518502574037202
224,3456,72319.81,20.925870949074074,2.434048032407407,1.0095717592592592,Stuy Town/Peter Cooper Village,Manhattan,40.7128,-74.006,0.061992143356831515
7,3385,96953.07,28.641970457902513,4.430623338257016,0.512629246676514,Astoria,Queens,40.7128,-74.006,0.06071857791171142
116,3370,96591.79,28.662252225519286,4.715543026706231,0.567353115727003,Hamilton Heights,Manhattan,40.7128,-74.006,0.06044951478950295
226,2570,78182.45,30.421186770428015,4.0569688715953305,1.4920428015564202,Sunnyside,Queens,40.7128,-74.006,0.04609948160505121
61,2531,83072.77,32.8221137890162,102.21720268668511,0.8075503753457132,Crown Heights North,Brooklyn,40.7128,-74.006,0.04539991748730919
145,2512,71339.65,28.399542197452227,3.337368630573248,1.095529458598726,Long Island City/Hunters Point,Queens,40.7128,-74.006,0.04505910419917846
45,2218,53389.22,24.070883678990082,3.207028854824166,1.3460504959422903,Chinatown,Manhattan,40.7128,-74.006,0.03978546700389245
76,2073,62363.84,30.08385914134105,75.05758321273517,0.02866377231066088,East New York,Brooklyn,40.7128,-74.006,0.03718452348921057
70,1970,77161.63,39.168340101522844,8.76581725888325,7.448817258883249,East Elmhurst,Queens,40.7128,-74.006,0.03533695671671241
209,1959,50489.02,25.77285349668198,3.484885145482389,1.8390148034711589,Seaport,Manhattan,40.7128,-74.006,0.0351396437604262
152,1910,50326.090000000004,26.34873821989529,3.8987225130890053,0.6011884816753926,Manhattanville,Manhattan,40.7128,-74.006,0.034260704227878525
37,1872,62810.88,33.55282051282051,4.5962232905982905,0.35109508547008544,Bushwick South,Brooklyn,40.7128,-74.006,0.03357907765161707
33,1815,63911.16,35.21276033057851,109.98092561983471,1.0931019283746557,Brooklyn Heights,Brooklyn,40.7128,-74.006,0.03255663778722488
112,1814,55050.91,30.347800441014336,3.4457221609702313,0.658792723263506,Greenpoint,Brooklyn,40.7128,-74.006,0.03253870024574432
256,1766,57008.17,32.28095696489241,74.64299546998868,0.6941166477916194,Williamsburg (South Side),Brooklyn,40.7128,-74.006,0.031677698254677214
255,1722,52391.62,30.424866434378632,3.224053426248548,0.7794889663182346,Williamsburg (North Side),Brooklyn,40.7128,-74.006,0.030888446429532368
